Date,Open,High,Low,Close,Adj Close,Volume,Price,rolling_1y_return,running_max,drawdown,daily_return,rolling_volatility_30d,rolling_volatility_90d,sma50,sma200
2023-08-28,18270.0,18594.0,18270.0,18530.80078125,17945.01953125,22053,17945.01953125,,17945.01953125,0.0,,,,,
2023-08-29,18569.94921875,18670.44921875,18472.05078125,18628.75,18039.869140625,26259,18039.869140625,,18039.869140625,0.0,0.005285567352536269,,,,
2023-08-30,18630.0,18745.0,18531.0,18626.44921875,18037.640625,22726,18037.640625,,18039.869140625,-0.00012353280434729275,-0.00012353280434729275,,,,
2023-08-31,18579.0,18685.25,18505.099609375,18573.849609375,17986.705078125,21914,17986.705078125,,18039.869140625,-0.002947031493719443,-0.0028238475271762375,,,,
2023-09-01,18599.0,19048.94921875,18507.150390625,18986.80078125,18386.6015625,24442,18386.6015625,,18386.6015625,0.0,0.02223289271926432,,,,
2023-09-04,18986.80078125,19190.0,18844.69921875,19066.80078125,18464.07421875,20109,18464.07421875,,18464.07421875,0.0,0.004213538645880366,,,,
2023-09-05,19066.80078125,19255.0,18999.44921875,19150.80078125,18545.41796875,20402,18545.41796875,,18545.41796875,0.0,0.004405514678737399,,,,
2023-09-06,19160.0,19329.05078125,19091.05078125,19275.150390625,18665.8359375,14855,18665.8359375,,18665.8359375,0.0,0.00649313857217515,,,,
2023-09-07,19275.150390625,19395.0,19171.0,19293.0,18683.123046875,11157,18683.123046875,,18683.123046875,0.0,0.0009261363612582674,,,,
2023-09-08,19336.0,19425.0,19210.0,19403.25,18789.88671875,13230,18789.88671875,,18789.88671875,0.0,0.00571444461437931,,,,
2023-09-11,19455.0,19499.900390625,19280.0,19444.5,18829.833984375,29532,18829.833984375,,18829.833984375,0.0,0.00212599821504722,,,,
2023-09-12,19494.0,19497.94921875,18901.05078125,19160.349609375,18554.666015625,36608,18554.666015625,,18829.833984375,-0.01461340386635035,-0.01461340386635035,,,,
2023-09-13,19102.25,19435.0,19102.25,19362.099609375,18750.037109375,16344,18750.037109375,,18829.833984375,-0.004237789619718102,0.010529485876246802,,,,
2023-09-14,19400.0,19749.94921875,19393.599609375,19489.75,18873.65234375,21565,18873.65234375,,18873.65234375,0.0,0.0065927994517511745,,,,
2023-09-15,19550.75,19693.30078125,19456.150390625,19664.599609375,19042.9765625,25736,19042.9765625,,19042.9765625,0.0,0.008971460089762129,,,,
2023-09-18,19700.0,19718.0,19537.900390625,19586.69921875,18967.537109375,16545,18967.537109375,,19042.9765625,-0.003961536836292634,-0.003961536836292634,,,,
2023-09-20,19586.69921875,19625.0,19290.0,19315.400390625,18704.814453125,14856,18704.814453125,,19042.9765625,-0.017757838868578957,-0.013851173968187247,,,,
2023-09-21,19390.0,19390.0,19080.0,19187.849609375,18581.296875,9683,18581.296875,,19042.9765625,-0.024244092617808133,-0.00660351795707681,,,,
2023-09-22,19187.849609375,19271.94921875,18995.05078125,19119.25,18514.8671875,13390,18514.8671875,,19042.9765625,-0.027732501443076374,-0.003575083480280461,,,,
2023-09-25,19119.0,19198.94921875,19001.150390625,19105.55078125,18501.599609375,6836,18501.599609375,,19042.9765625,-0.028429219105961412,-0.0007165905102445302,,,,
2023-09-26,19170.0,19199.94921875,19038.55078125,19143.599609375,18538.447265625,15216,18538.447265625,,19042.9765625,-0.02649424554082236,0.001991592998873859,,,,
2023-09-27,19200.0,19340.0,19015.55078125,19218.55078125,18611.025390625,23854,18611.025390625,,19042.9765625,-0.02268296505314249,0.003915005607539657,,,,
2023-09-28,19199.94921875,19700.0,18840.0,19319.75,18709.02734375,78557,18709.02734375,,19042.9765625,-0.017536608190109493,0.005265800839451051,,,,
2023-09-29,19500.0,19500.05078125,18960.0,19019.69921875,18418.4609375,33903,18418.4609375,,19042.9765625,-0.032795063468691876,-0.01553081306212678,,,,
2023-10-03,19060.0,19060.0,18625.099609375,18762.849609375,18169.728515625,28949,18169.728515625,,19042.9765625,-0.04585669913571322,-0.013504517164546592,,,,
2023-10-04,18762.849609375,18900.0,18600.0,18742.349609375,18149.876953125,15586,18149.876953125,,19042.9765625,-0.04689916024649832,-0.0010925624168203196,,,,
2023-10-05,18742.349609375,18950.650390625,18742.349609375,18930.44921875,18332.03125,8247,18332.03125,,19042.9765625,-0.03733372827334225,0.010036117453878335,,,,
2023-10-06,18970.0,19342.0,18900.0,19303.94921875,18693.7265625,18284,18693.7265625,,19042.9765625,-0.018340095039961035,0.019730236522480293,,,,
2023-10-09,19200.0,19300.0,19051.30078125,19256.650390625,18647.921875,20739,18647.921875,,19042.9765625,-0.020745427386491322,-0.00245027054112823,,,,
2023-10-10,19289.849609375,19772.69921875,19205.150390625,19717.75,19094.4453125,26329,19094.4453125,,19094.4453125,0.0,0.023944943597099977,,,,
2023-10-11,19717.75,19950.0,19613.349609375,19698.099609375,19075.4140625,26535,19075.4140625,,19094.4453125,-0.0009966903823879214,-0.0009966903823879214,0.15520856323168047,,,
2023-10-12,19601.25,20564.75,19601.25,20455.69921875,19809.06640625,81609,19809.06640625,,19809.06640625,0.0,0.03846062483080104,0.18756409005345082,,,
2023-10-13,20250.0,20932.099609375,20215.05078125,20529.44921875,19880.486328125,60488,19880.486328125,,19880.486328125,0.0,0.003605415843952464,0.18730279854652854,,,
2023-10-16,20552.44921875,20760.0,20500.05078125,20674.05078125,20020.515625,25227,20020.515625,,20020.515625,0.0,0.007043554899202942,0.18667499007660757,,,
